Time,Bacteroides theta,Bacteroides fragilis,Bifido longum,Bifido breve,Bifido adolescentis,Eubacterium hallii,Faecalibacterium prausnitzii,Roseburia intestinalis
2.8,0.012006371,0.015515163,0.024100008,0.441626493,0.042919078,0.046355073,0.013591093,0.013409595
2.82,0.012031356,0.015573915,0.024271162,0.454007442,0.043425347,0.04698946,0.013632342,0.013447143
2.84,0.012056563,0.015633072,0.024443842,0.466713794,0.04393803,0.047632071,0.013673904,0.01348495
2.86,0.012081991,0.015692638,0.024618062,0.479752719,0.044457206,0.048282971,0.013715781,0.013523017
2.88,0.012107645,0.015752615,0.024793837,0.493131457,0.044982956,0.048942225,0.013757976,0.013561346
2.9,0.012133525,0.015813009,0.024971181,0.506857306,0.045515359,0.049609896,0.013800492,0.01359994
2.92,0.012159634,0.015873824,0.025150111,0.520937624,0.046054499,0.050286046,0.013843331,0.013638801
2.94,0.012185974,0.015935063,0.025330641,0.535379811,0.046600458,0.050970736,0.013886496,0.01367793
2.96,0.012212548,0.015996731,0.025512788,0.550191309,0.047153321,0.051664026,0.01392999,0.01371733
2.98,0.012239357,0.016058833,0.025696566,0.56537959,0.047713172,0.052365974,0.013973816,0.013757003
3,0.012266403,0.016121372,0.025881992,0.580952146,0.048280099,0.053076637,0.014017977,0.013796951
3.02,0.01229369,0.016184352,0.026069082,0.596916476,0.048854187,0.05379607,0.014062475,0.013837177
3.04,0.012321218,0.016247779,0.026257851,0.61328008,0.049435525,0.054524328,0.014107314,0.013877682
3.06,0.012348991,0.016311656,0.026448316,0.630050444,0.050024202,0.055261464,0.014152496,0.013918469
3.08,0.012377011,0.016375988,0.026640493,0.647235022,0.050620309,0.056007527,0.014198025,0.01395954
3.1,0.012405279,0.016440781,0.026834399,0.66484123,0.051223936,0.056762568,0.014243903,0.014000898
3.12,0.0124338,0.016506037,0.02703005,0.682876423,0.051835176,0.057526632,0.014290134,0.014042544
3.14,0.012462573,0.016571763,0.027227464,0.701347884,0.052454123,0.058299766,0.014336721,0.014084482
3.16,0.012491604,0.016637962,0.027426657,0.720262799,0.05308087,0.059082013,0.014383666,0.014126713
3.18,0.012520892,0.01670464,0.027627646,0.739628246,0.053715514,0.059873413,0.014430973,0.014169239
3.2,0.012550442,0.016771802,0.027830449,0.759451169,0.054358152,0.060674007,0.014478646,0.014212065
3.22,0.012580256,0.016839452,0.028035082,0.779738356,0.055008881,0.06148383,0.014526686,0.01425519
3.24,0.012610336,0.016907595,0.028241565,0.800496419,0.0556678,0.062302918,0.014575099,0.014298619
3.26,0.012640684,0.016976237,0.028449914,0.821731766,0.05633501,0.063131302,0.014623886,0.014342354
3.28,0.012671304,0.017045382,0.028660147,0.843450577,0.057010611,0.063969013,0.014673052,0.014386397
3.3,0.012702198,0.017115036,0.028872283,0.865658774,0.057694707,0.064816076,0.014722599,0.01443075
3.32,0.012733368,0.017185204,0.029086339,0.888361991,0.058387401,0.065672517,0.014772532,0.014475417
3.34,0.012764818,0.017255891,0.029302335,0.911565545,0.059088799,0.066538357,0.014822852,0.014520399
3.36,0.01279655,0.017327103,0.029520288,0.935274402,0.059799006,0.067413614,0.014873565,0.014565701
3.38,0.012828566,0.017398845,0.029740217,0.959493138,0.060518129,0.068298305,0.014924674,0.014611323
3.4,0.01286087,0.017471123,0.029962142,0.984225911,0.061246278,0.069192442,0.014976181,0.014657269
3.42,0.012893465,0.017543942,0.030186081,1.009476413,0.061983562,0.070096035,0.015028092,0.014703541
3.44,0.012926352,0.017617308,0.030412054,1.035247834,0.062730093,0.07100909,0.015080408,0.014750143
3.46,0.012959536,0.017691226,0.03064008,1.061542821,0.063485982,0.07193161,0.015133135,0.014797077
3.48,0.012993018,0.017765704,0.030870179,1.08836343,0.064251344,0.072863594,0.015186276,0.014844346
3.5,0.013026803,0.017840745,0.03110237,1.115711082,0.065026294,0.07380504,0.015239834,0.014891952
3.52,0.013060892,0.017916357,0.031336674,1.143586516,0.065810949,0.074755938,0.015293813,0.014939898
3.54,0.01309529,0.017992545,0.03157311,1.171989736,0.066605425,0.075716279,0.015348218,0.014988188
3.56,0.013129998,0.018069316,0.031811699,1.200919963,0.067409842,0.076686046,0.015403052,0.015036825
3.58,0.01316502,0.018146676,0.032052462,1.23037558,0.06822432,0.077665221,0.015458319,0.01508581
3.6,0.01320036,0.01822463,0.032295418,1.260354076,0.069048982,0.078653781,0.015514023,0.015135147
3.62,0.01323602,0.018303186,0.03254059,1.290851993,0.06988395,0.0796517,0.015570168,0.01518484
3.64,0.013272004,0.01838235,0.032787998,1.321864869,0.070729349,0.080658945,0.015626758,0.015234891
3.66,0.013308314,0.018462128,0.033037663,1.353387174,0.071585305,0.081675481,0.015683798,0.015285303
3.68,0.013344955,0.018542527,0.033289608,1.385412261,0.072451946,0.082701269,0.015741291,0.01533608
3.7,0.013381929,0.018623554,0.033543852,1.417932296,0.0733294,0.083736265,0.015799242,0.015387223
