MetaOTU	Species	Type	Sample	RelativeAbundance
MS00056	Bifidobacterium breve	12 Months	X521	7.45695371030554e-05
MS00056	Bifidobacterium breve	12 Months	X526	0
MS00056	Bifidobacterium breve	12 Months	X527	0.000640535275858403
MS00056	Bifidobacterium breve	12 Months	X536	0
MS00056	Bifidobacterium breve	12 Months	X544	0
MS00056	Bifidobacterium breve	12 Months	X549	0
MS00056	Bifidobacterium breve	12 Months	X560	0
MS00056	Bifidobacterium breve	12 Months	X565	0
MS00056	Bifidobacterium breve	12 Months	X567	0.0294112179305172
MS00056	Bifidobacterium breve	12 Months	X572	0
MS00056	Bifidobacterium breve	12 Months	X582	0
MS00056	Bifidobacterium breve	12 Months	X585	0
MS00056	Bifidobacterium breve	12 Months	X587	0.0186123394166564
MS00056	Bifidobacterium breve	12 Months	X589	0.00548628302351232
MS00056	Bifidobacterium breve	12 Months	X590	0
MS00056	Bifidobacterium breve	12 Months	X591	0
MS00056	Bifidobacterium breve	12 Months	X599	0
MS00056	Bifidobacterium breve	12 Months	X608	0
MS00056	Bifidobacterium breve	12 Months	X615	0
MS00056	Bifidobacterium breve	12 Months	X624	0
MS00056	Bifidobacterium breve	12 Months	X633	0.0256398919769312
MS00056	Bifidobacterium breve	12 Months	X637	0
MS00056	Bifidobacterium breve	12 Months	X78	0.00032624517998974
MS00056	Bifidobacterium breve	12 Months	X87	0
MS00059	Bifidobacterium longum	12 Months	X105	0.0013611593382642
MS00059	Bifidobacterium longum	12 Months	X10	0.000326433453562907
MS00059	Bifidobacterium longum	12 Months	X128	0.00947904341700969
MS00059	Bifidobacterium longum	12 Months	X12	0
MS00059	Bifidobacterium longum	12 Months	X130	0
MS00059	Bifidobacterium longum	12 Months	X133	0
MS00059	Bifidobacterium longum	12 Months	X137	0
MS00059	Bifidobacterium longum	12 Months	X150	0
MS00059	Bifidobacterium longum	12 Months	X157	0.00109780617062764
MS00059	Bifidobacterium longum	12 Months	X172	0
MS00059	Bifidobacterium longum	12 Months	X180	0.000899571242282413
MS00059	Bifidobacterium longum	12 Months	X181	0
MS00059	Bifidobacterium longum	12 Months	X184	0.000136571029400329
MS00059	Bifidobacterium longum	12 Months	X201	0.129603022094209
MS00059	Bifidobacterium longum	12 Months	X229	0.00153165136528572
MS00059	Bifidobacterium longum	12 Months	X238	0
MS00059	Bifidobacterium longum	12 Months	X240	0.00687232484119776
MS00059	Bifidobacterium longum	12 Months	X256	0.00364190061884246
MS00059	Bifidobacterium longum	12 Months	X258	0.000513095405785995
MS00059	Bifidobacterium longum	12 Months	X263	0.00135297569491083
MS00059	Bifidobacterium longum	12 Months	X265	0.00202823353570288
MS00059	Bifidobacterium longum	12 Months	X268	0.000446656765908158
MS00059	Bifidobacterium longum	12 Months	X26	0
MS00059	Bifidobacterium longum	12 Months	X272	0.00442990614181137
MS00059	Bifidobacterium longum	12 Months	X274	0.000181887882734584
MS00059	Bifidobacterium longum	12 Months	X275	0.00186833577560172
MS00059	Bifidobacterium longum	12 Months	X276	0.00441927161405582
MS00059	Bifidobacterium longum	12 Months	X281	0.00174862607418388
MS00059	Bifidobacterium longum	12 Months	X282	0
MS00059	Bifidobacterium longum	12 Months	X332	0
MS00059	Bifidobacterium longum	12 Months	X335	0.000241175326979859
MS00059	Bifidobacterium longum	12 Months	X338	0.00997980638896614
MS00059	Bifidobacterium longum	12 Months	X341	0
MS00059	Bifidobacterium longum	12 Months	X343	0.0303608831028955
MS00059	Bifidobacterium longum	12 Months	X350	0.00242680753677381
MS00059	Bifidobacterium longum	12 Months	X367	0.00543000946925061
MS00059	Bifidobacterium longum	12 Months	X377	0.00554468323325815
MS00059	Bifidobacterium longum	12 Months	X383	0.0460193503589806
MS00059	Bifidobacterium longum	12 Months	X385	0.00662251762841174
MS00059	Bifidobacterium longum	12 Months	X397	0.00123757016535408
MS00059	Bifidobacterium longum	12 Months	X39	0.00479199915551728
MS00059	Bifidobacterium longum	12 Months	X42	0.000710817179538658
MS00059	Bifidobacterium longum	12 Months	X45	0.0107677246688249
MS00059	Bifidobacterium longum	12 Months	X51	0.0207541662040658
MS00059	Bifidobacterium longum	12 Months	X521	0
MS00059	Bifidobacterium longum	12 Months	X526	0
MS00059	Bifidobacterium longum	12 Months	X527	0.0145067898431647
MS00059	Bifidobacterium longum	12 Months	X536	4.37601529000105e-05
MS00059	Bifidobacterium longum	12 Months	X544	0
MS00059	Bifidobacterium longum	12 Months	X549	0.00731082918877083
MS00059	Bifidobacterium longum	12 Months	X560	0.00316529059007517
MS00059	Bifidobacterium longum	12 Months	X565	0.000242498831152559
MS00059	Bifidobacterium longum	12 Months	X567	0.334524168783487
MS00059	Bifidobacterium longum	12 Months	X572	0.00400773389799725
MS00059	Bifidobacterium longum	12 Months	X582	0.00136345421982796
MS00059	Bifidobacterium longum	12 Months	X585	0.000626517156727437
MS00059	Bifidobacterium longum	12 Months	X587	0
MS00059	Bifidobacterium longum	12 Months	X589	0
MS00059	Bifidobacterium longum	12 Months	X590	0.0182547570663294
MS00059	Bifidobacterium longum	12 Months	X591	0
MS00059	Bifidobacterium longum	12 Months	X599	0.000436049590674714
MS00059	Bifidobacterium longum	12 Months	X608	0.00123323707636091
MS00059	Bifidobacterium longum	12 Months	X615	0.00052342551475345
MS00059	Bifidobacterium longum	12 Months	X624	0.00200828650303071
MS00059	Bifidobacterium longum	12 Months	X633	0.038513998338055
MS00059	Bifidobacterium longum	12 Months	X637	0.000167989011326314
MS00059	Bifidobacterium longum	12 Months	X78	0.0121979666119398
MS00059	Bifidobacterium longum	12 Months	X87	0.0017379305431716
MS00061	Bifidobacterium adolescentis	12 Months	X105	0
MS00061	Bifidobacterium adolescentis	12 Months	X10	0.0182870371532216
MS00061	Bifidobacterium adolescentis	12 Months	X128	0.00734545451772159
MS00061	Bifidobacterium adolescentis	12 Months	X12	0
MS00061	Bifidobacterium adolescentis	12 Months	X130	0
MS00061	Bifidobacterium adolescentis	12 Months	X133	0
MS00061	Bifidobacterium adolescentis	12 Months	X137	0
MS00061	Bifidobacterium adolescentis	12 Months	X150	0
MS00061	Bifidobacterium adolescentis	12 Months	X157	0.00992568652161815
MS00061	Bifidobacterium adolescentis	12 Months	X172	0.00501388454933002
MS00061	Bifidobacterium adolescentis	12 Months	X180	0
MS00061	Bifidobacterium adolescentis	12 Months	X181	0
MS00061	Bifidobacterium adolescentis	12 Months	X184	0
MS00061	Bifidobacterium adolescentis	12 Months	X201	0.000376144951015041
MS00061	Bifidobacterium adolescentis	12 Months	X229	0.000268315114573792
MS00061	Bifidobacterium adolescentis	12 Months	X238	0
MS00061	Bifidobacterium adolescentis	12 Months	X240	0.0380564456881446
MS00061	Bifidobacterium adolescentis	12 Months	X256	0
MS00061	Bifidobacterium adolescentis	12 Months	X258	0
MS00061	Bifidobacterium adolescentis	12 Months	X263	0.00394292216972462
MS00061	Bifidobacterium adolescentis	12 Months	X265	0
MS00061	Bifidobacterium adolescentis	12 Months	X268	0.00314135007928182
MS00061	Bifidobacterium adolescentis	12 Months	X26	0.00873767150924159
MS00061	Bifidobacterium adolescentis	12 Months	X272	0.00365334600646609
MS00061	Bifidobacterium adolescentis	12 Months	X274	0.00285375106588783
MS00061	Bifidobacterium adolescentis	12 Months	X275	0
MS00061	Bifidobacterium adolescentis	12 Months	X276	0
MS00061	Bifidobacterium adolescentis	12 Months	X281	0
MS00061	Bifidobacterium adolescentis	12 Months	X282	0
MS00061	Bifidobacterium adolescentis	12 Months	X332	0.00559819916421558
MS00061	Bifidobacterium adolescentis	12 Months	X335	0.000215363912648818
MS00061	Bifidobacterium adolescentis	12 Months	X338	0
MS00061	Bifidobacterium adolescentis	12 Months	X341	0
MS00061	Bifidobacterium adolescentis	12 Months	X343	2.8224093792692e-05
MS00061	Bifidobacterium adolescentis	12 Months	X350	0.0197844919132393
MS00061	Bifidobacterium adolescentis	12 Months	X367	0
MS00061	Bifidobacterium adolescentis	12 Months	X377	0.010424117774543
MS00061	Bifidobacterium adolescentis	12 Months	X383	0.00933511558895564
MS00061	Bifidobacterium adolescentis	12 Months	X385	0
MS00061	Bifidobacterium adolescentis	12 Months	X397	0.00277002488556263
MS00061	Bifidobacterium adolescentis	12 Months	X39	0.004674345699674
MS00061	Bifidobacterium adolescentis	12 Months	X42	0.000679753320108158
MS00061	Bifidobacterium adolescentis	12 Months	X45	0.0216746214116094
MS00061	Bifidobacterium adolescentis	12 Months	X51	0
MS00061	Bifidobacterium adolescentis	12 Months	X521	0
MS00061	Bifidobacterium adolescentis	12 Months	X526	0
MS00061	Bifidobacterium adolescentis	12 Months	X527	0
MS00061	Bifidobacterium adolescentis	12 Months	X536	0
MS00061	Bifidobacterium adolescentis	12 Months	X544	0.00012798272388063
MS00061	Bifidobacterium adolescentis	12 Months	X549	0
MS00061	Bifidobacterium adolescentis	12 Months	X560	0
