X105_M	X10_M	X128_M	X12_M	X130_M	X133_M	X137_M	X150_M	X157_M	X172_M	X180_M	X181_M	X184_M	X201_M	X229_M	X238_M	X240_M	X256_M	X258_M	X263_M	X265_M	X268_M	X26_M	X272_M	X274_M	X275_M	X276_M	X281_M	X282_M	X332_M	X335_M	X338_M	X341_M	X343_M	X350_M	X367_M	X377_M	X383_M	X385_M	X397_M	X39_M	X42_M	X45_M	X51_M	X521_M	X526_M	X527_M	X536_M	X544_M	X549_M	X560_M	X565_M	X567_M	X572_M	X582_M	X585_M	X587_M	X589_M	X590_M	X591_M	X599_M	X608_M	X615_M	X624_M	X633_M	X637_M	X78_M	X87_M
MN00011	0.00781350325454809	0.0227950052719711	0.0223160423966804	0.00906427923820757	0.00239470036688943	0.0378775077415491	0.00912584424094322	0.000535188339136022	0.0215158490467886	0.00615506376485092	0.031488618973797	0.00586281667579506	0.000818421087162088	0.00414561506062513	0.00126362708900166	0.000588567874086317	0.000172119217369514	0.00036555440961417	0.000550608836102689	0.0212275401799783	0.000261186844852625	0.0734212284789878	0.00823744720560743	0.0240417709715939	0.00106046846563975	0.00290433770243609	0.00718945368793499	0.000482690032808038	0.0250356664292307	6.20389949716074e-05	0.00100384994980115	0.011496986168837	0.00394583611598737	0.000863407699070411	0.0281023689991962	0.00923374263102664	0.000966411229862726	0.020554898367535	0.000224779814323186	0.00474082738271608	0.0538741433254356	2.46967408784244e-05	0.00266799283422486	0.0812869956587465	0.0341122124766289	0.00461184815591655	1.49903748332305e-05	0.00149865846331911	0.000185185046838154	0.0149663108814911	0.00348595758850039	0.000455846184381855	0	0.000268053139327498	0.0457894597814479	0.00026593993440018	0.00150026419106753	0.00196537115952445	0.00143736157694758	0.000229969127768419	0.0555407634049935	0.000498653613249998	0.00660782148356222	0.032855196840942	0.000255158858466181	0.012340385047103	2.29356621535824e-05	0.0327346265500589
MN00012	0.00848562442073782	0.0234191449032681	0.00690541547507315	0.000128887627057714	0.000249218996320637	0.000139989402545337	0.00113538526625172	0.000467537305886678	0.00244558087332062	0.0268965417493569	0.000252521707161791	0.00653084595163904	4.57015064772379e-05	0.000735217464881934	0.000173120831060041	0.00768398466772082	5.45966662596293e-05	0.000117663738394593	0.000668509777505369	0.000872588694135694	0.00015669574473965	0.00036810885460476	0.000379537546387499	0.000864269150354209	0.00100957852772773	0.0140392482924648	0.00211062404275786	0.00147347044458704	0.00020794758762525	0.000726652532402071	0.0180581880119635	0.00326824525453277	0.00252278353846999	0.000911618386240519	6.9793396137252e-05	0.000145120568100566	0.000450773046393562	0.00505037566149206	0	0.000626328255190521	0.00056521638732371	1.67577122653075e-05	0.0116859991180475	9.59779049668223e-05	0.000654471030905236	0	0.000375605983810016	0.000426882044606883	0.000275948256980965	0.000531068623425039	0.000163970058394953	0.0210925038452686	0.00013112945207159	0.00022343986921629	0.00109744460258491	0.000409733664138246	0.000358606413887884	0.000300655800766684	0.00210510273738286	0.000536570129650982	0.000427576434291183	0.000739387961580188	0.0122870098818433	0.00039314812892504	0.000488224050314187	0.00101026718530004	0.000245679206876277	0.00220898257557939
MN00013	0	8.72451549956192e-05	0	0.000303537293027514	2.46914852493811e-05	0	0.000165272044084656	1.8564153339405e-05	0	1.27868787683538e-05	0	0.000206986518774175	2.07154255756118e-05	0	2.03622238993963e-05	0	0	0.000449649993412396	0	1.48593401278667e-05	0	1.49126364650645e-05	1.8261347274427e-05	0	2.06912692574228e-05	0.000152108135607709	2.68392134903415e-05	0	0.000362864172416134	0.000161183843742128	9.00734497806194e-06	0	1.86798652836478e-05	2.3287110407422e-05	0	3.6007941380858e-05	0.000221852689830496	0	0	0	0	2.11425007118885e-05	0	0	1.83941597911535e-05	7.99421366284077e-05	9.0919168760476e-06	0	0.000121764846225535	0	4.76119984116007e-05	0	0.00080814087664512	0.000173908501286533	3.20490668155043e-05	0.000218400924419082	1.61586653200943e-05	2.59879790431388e-05	1.97014132113951e-05	0.000203322450743056	0	8.75950315096085e-05	0.000138598129508931	2.90513625225161e-05	0	0	0	2.86250765908356e-05
MN00014	0	0	0	0	0	0	0	0	0	0	0	0	0.000825742760700782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91428330868469e-05	0	0	0	0	0.00012363087009375	0	0	0	0	0	0	0	0
MN00015	0.0171352979674601	0.0667115037310238	0.0164786598179216	0.0789473055363248	0.033708323216408	0.0141568610281784	0.0123484735077995	0.0682139629266815	0.025447856069421	0.00721159829106431	0.0305062133564643	0.0129146584282233	0.00135979649428711	0.0261292875945258	0.0369540896634874	0.00172532970478444	0.0185941265753094	0.0067178479740086	0.00679344342521164	0.00683444343099039	0.0249016635020998	0.0114693392102483	0.00235086016731689	0.0359728602789283	0.0240918483287101	0.0155625779563257	0.00541829884330369	0.0134078005897759	0.0210374889042973	0.0140398037630759	0.0152004730721077	0.0169389478170702	0.00257508213567231	0.0159551978726889	0.0221730248407506	0.00348753896204757	0.00220548638532014	0.0283146090188272	0.0004037170427308	0.00627121775050854	0.020066263114319	0.0474034758116503	0.0130591802394262	0.0265979358080268	0.0294291987076948	0.0145461377904949	0.00218960403487378	0.026393666069675	0.0146548217220254	0.00628691330965767	0.0200678489162258	0.0129614639384719	0.000182891882005521	0.0199309241608589	0.0149957780788807	0.0299455962174866	0.0248036978187763	0.00249633575826492	0.00849009696040932	0.00836215756697809	0.0149617106169139	0.00227531445527807	0.0412067057793439	0.0188445052118479	0.0182012745305203	0.0260778121251259	0.00397737569209808	0.0185351614689024
MN00016	0.000535535242790692	0	0.000729036728568102	0	0.000126196967270075	4.85838140118443e-05	0.00220274105454731	0	0	4.55243042622801e-05	0.00213074427277899	0.00154400155436097	0.00256631398630274	0.00299371640067362	0.000804806798745722	0	0	0	0.0031759434265878	0	0	0.000768309868116118	0	0	0.000298077143933412	0.0189089361643806	0.0022316077454043	0.002128510641589	0.00122095363761233	0	0.000121690333192104	0.00155088309733933	4.27803350628175e-05	0	0.000773842116164267	0	0.000371441777802203	4.41240490493455e-05	0.000358006542221029	0.0021682561620067	0.000972280850450759	0.00746438496687838	0.001051819797758	0	0	8.32862521838706e-05	0	0.00347565897072849	5.0966863244144e-05	0.000180450046621187	0.000768140290866671	0	0	2.06918196158065e-05	0.000776808889071645	0.000473527413152625	0.00884867264172783	0.000189163650093815	0.0399926016691405	0.000102162545751343	0.00439950714055801	0	0	0	0.00342317111943887	1.95931505650635e-05	0	0.000232550511552072
MN00017	0	9.77680961001166e-05	0	9.13850921527953e-05	0.000222412218517727	0	0	0	0	0	3.88406761196779e-05	0	8.98698356115858e-05	0	0.000198540286972587	0	0	0.000597420990359688	0	0	0	6.77724729381788e-05	0	0	0	0.000101438645885581	0	0	0	4.86343873303687e-05	3.26410755135383e-05	2.39773359444929e-05	0.00280750215951177	0	0	5.59464610128695e-05	0	3.85278846250987e-05	0	0.000101932193879069	0	0.000105444655190208	0	0	0	0.000105798988540816	4.77313344876382e-05	3.237633886628e-05	6.77120077206016e-05	5.89457975045273e-05	0	0	0	0	6.77520059682128e-05	0	0	0	0.000131973713570793	6.29016279753937e-05	0	0	0	0	0	0	0	0
MN00018	0.00300411457232716	0.00409101829206053	0.0135021612516526	0.0191735229139914	0.00193820369216397	0.00364548225721985	0.0123004680219249	0.00608630032205214	0.00415340082405016	0.0127500561892311	0.00232089343419795	0.0074898423383212	0.00123290376144702	0.00628220547909714	0.00711256826096301	0.0292964127741666	0.000752302033072349	0.0042533193673594	0.00828237725164985	0.004190632543525	0.00168158706127566	0.00416569595295669	0.00238316077980292	0.00647009916444396	0.00280499139947057	0.00825129081166381	0.017619019017856	0.0192538246729478	0.0122930584969509	0.000721212321459016	0.0100767248856405	0.00140516217169856	0.00790205452504767	0.00308689704883619	0.00638659460930061	0.00533190310143294	0.00496929885853351	0.0377332122609876	0.000566446013519396	0.00491308914911172	0.0146843491919617	0.000677508709143186	0.00217779386998964	0.00116627142074363	0.00870252324695073	0.00181965264708465	3.67693903390919e-05	0.00158333991199775	0.000831846912397557	0.00681134327680844	0.00268258140396315	0.0060076946095068	0.00118531504776315	0.00679260040282984	0.00739069908501689	0.0204353338995131	0.00194535671126477	0.00318285815025111	0.0022877691727914	0.00441925700257153	0.00301873992791019	0.00230208086689555	0.0058127198197218	0.00313334210788182	0.000631255373931368	0.00110914021154457	0.00721464577600073	0.00143449847771961
MN00019	0.00427317257459145	0	0.00190638259492186	0.00436197540856346	1.17115150968304e-05	0.000650580795521009	7.63671805899272e-05	0.000913142019312003	0	5.57680270116583e-05	0.00115154594324272	0.00111709731000082	0.00394644781685725	0.000381463430047477	0.00268398589606246	0.00398068886254476	0	1.98757933852826e-05	0.00531797513229164	0.000749287597116957	2.18717196537412e-05	0.00150731985940335	0	0.0053036935330447	5.4423607116201e-05	0	0.00385439948878681	0.00296255196841632	0.00930087470512721	0.00557973395309926	0.000472028585426394	0.00111441667978239	4.34424899635182e-05	0	0	0.000568182183552897	0.00463720313790178	0.00210271253303245	0	0.00299261673595969	0.0018923501896819	0.00471933830274644	0.000364554706163505	0	0	0.000336412113581066	6.64641227238716e-05	0.00244791985660251	0.0117245630364181	0.00180703265889501	0.00122269455372911	0.00110029071088889	0.000370193238972004	0.0106358008977197	0.00438288784317855	0.00126642813990884	0.00771157045092026	0.000412833010957922	0.00347307055869429	0.000168213536946543	4.39921036345414e-05	0.000836687276938099	0.00203674077583039	0.00280407715548179	0	0.000151585210218544	0.00240121352566414	0.000245569431964204
MN00020	0.00028261900726181	0.001104538781201	0.00692868684911072	0	0.0205035363641115	0.00123993578019461	0.00854590213705103	0.000534291542139448	3.57447547567531e-05	0.0067655328124792	0.00138138312851367	0.00123512352101289	0.00400258280872352	0.00783233263452245	0.00625635852389839	0.00212249098001293	0.000459490886096319	0.0103580030461015	0.00109711276731056	0.00431247009096619	0.0056659850652588	0.00057238515524348	0.00265951504120884	0.000818164111339558	0.0210316047417448	0.0410501916028841	0.00232721714441978	0.00692583430293518	0.00252612300079613	0.0160869518617159	0.002081008463704	0.00155086951918554	0.00713618460420943	0.0528373038235052	0.0190014124697399	0.000182114616012885	0.00103465321321019	0.00169931463779211	5.95329821575043e-05	0.00139013455607852	0.00447312966316714	0.00195890800471571	0.00481381358250775	0.00389180038283184	0.0166377878353866	0.000151677892398806	0.00253804678350798	0.00319724481764322	0.00506280871489809	0.00388922133119459	0.00120790009676778	0.00285366154756947	0.00698102131643514	0.0101574252194438	0.00470360362266049	0.0122728601466769	0.00238251247375687	0.00124477880616722	0.00267275458362486	0.0111417915870402	0.00155311602971346	0.00492526551090796	0.00170873926318355	0.000673111394257171	0.000671126349812571	3.8237657169905e-05	0.0017345679639413	0.00128613223751163
MN00021	3.48314557731155e-05	0	8.62656062069676e-05	0	0	3.8232845007014e-05	3.75372441467688e-05	0	0	0	8.85727358119266e-05	0	0	0	0	0	0.00179515851261503	0.00081584965352331	0	0	7.84421585514527e-05	0	0	0	0	0	0.000134084444187367	0.000149895287420829	0	0	0.000114261849542716	9.20014540337711e-05	0	0	0	0	8.91126541862397e-05	0	0	4.00732980404919e-05	0	0.00192048192616056	4.63517676464163e-05	0	0	0	0	0	0.000104226301355945	0	7.98666028802408e-05	3.04218622087408e-05	0	0.000232568498822921	0	0	9.58419726863685e-05	0	9.64892259828259e-05	0	0	0	0	0	0.000360548961908726	0.000135001935976564	0	4.15910844115295e-05
MN00022	0	0	0	0.000210874521977553	0	0	0	0	0	2.23361241450278e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
