X105_4M	X10_4M	X128_4M	X12_4M	X130_4M	X133_4M	X137_4M	X150_4M	X157_4M	X172_4M	X180_4M	X181_4M	X184_4M	X201_4M	X229_4M	X238_4M	X240_4M	X256_4M	X258_4M	X263_4M	X265_4M	X268_4M	X26_4M	X272_4M	X274_4M	X275_4M	X276_4M	X281_4M	X282_4M	X332_4M	X335_4M	X338_4M	X341_4M	X343_4M	X350_4M	X367_4M	X377_4M	X383_4M	X385_4M	X397_4M	X39_4M	X42_4M	X45_4M	X51_4M	X521_4M	X526_4M	X527_4M	X536_4M	X544_4M	X549_4M	X560_4M	X565_4M	X567_4M	X572_4M	X582_4M	X585_4M	X587_4M	X589_4M	X590_4M	X591_4M	X599_4M	X608_4M	X615_4M	X624_4M	X633_4M	X637_4M	X78_4M	X87_4M
MN00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00787061398046441	0	0	0	0.000166204875649656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00023	0.0188051730508535	0	0	0	0	0.00155326891387221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106663564189736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000149012726598838	0
MN00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123495238779464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0481970810373639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00026	0.000147698123666553	0	0	8.1805482616097e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000197537881156613	0	0.000121450807901988	0	0	0	0	0	0	0	0	0	0	0	3.1214248418487e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010201896371648	0	0	0	0	0	0	0	0	0	0	0.000478547577283654	0	0	0	0
MN00027	0	0	0	0	0	0	0	0.00176236255374718	0	0	0	0	0.000145932723304186	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000169785739272902	0.00143472579335458	0	0	0	0	0	0	0	0	0	3.09705374694885e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000601308363499963	0	0	8.92486076533288e-05
MN00028	0	0	0	0	0	0	0	0	0	0.00103806919407825	0	0	0	0	5.37331057451565e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.11588150086763e-05	0	0	0	0	0
MN00029	0.00130659019337311	0	0.000195525938757533	6.67951322859317e-05	6.69075080688086e-05	0.000817858998358965	0	0	7.01196253256098e-05	2.88865671307091e-05	0	0	0.000167328947656904	0.000302211044090993	7.84995585255861e-05	0.000783271563064982	0	0	0	0	0.000139799075446447	0.000627661771456089	0	0	0	0.000381665999329657	0	0.00179118127454624	0.000128237006519478	0	0.000165125510875506	0.000282669492760814	0	2.06676494817448e-05	0	0	0.0040173284816217	0	0	0.000122598729436858	0	0	0	0.000373265467405281	0	0.00012786145023334	0	0.000418457943425344	5.56171121136052e-05	0.000265968326336241	0	0	0.000389361093636552	0	0	0	4.45975891319009e-05	0	0	0	0	0	0	0.000139057103114242	0.000198775654980336	0	4.11672173509829e-05	0.0785036372615234
MN00030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000351936971492103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139574928086024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00031	8.25293607215256e-05	7.70540306953493e-05	0.00012717172085742	0.000285655831525551	0	3.74695280049986e-05	0	0	3.58562661291323e-05	0	0	0	0	0	0.000125719038407462	0.000578571438536135	0	6.5209240050801e-05	0	0	3.95407476911282e-05	0	0	0	0	0	0	0	0	0	0.000379987606110286	0	0	0	0	0	0	0	0	4.07698760999569e-05	0	0	0	0	2.99602459626319e-05	0	0	3.26080099867518e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000151059882410026	2.40000595111717e-05	0	0	0.000403177998506322	0	0	0
MN00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00033	0	0	0	0	0.000151733198195707	0	0	0	0	5.03499523616826e-05	0	0.000316528699214961	0	0	0	0	0	0	0	0	0	0.00294360957911406	0	0	0.000193336181588686	0	0.000343061416043269	0.000130729537958959	0	0.00282360192450783	0	0.00645334390192312	0.0358201958656501	0	0	0	0	0	0	0	0.000182392815329095	0	0.0226126063367599	0.000185158158196402	6.91302962265129e-05	0	0	0	0	0.00969305730049347	0	0	0	0	0	0	0	0	0.0169382146247652	0	0	3.22027996579738e-05	0	0.00159630433031962	0	0	0	0
MN00034	0	0	0	0	0	0	0	0	0	0	0	1.09769270178579e-05	0.00389803303903386	0	0	0	0	0	0	0.00388464241460394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03423647929396e-05	1.49726671388568e-05	0.000908651304395996	0	0	0.00144078265985894	0	0	3.18891110853835e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00102770646538316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0467201960698806	0	0	0	0.000105542287088065	0
MN00036	0.000461922197021171	0	0	0	0	0	0	0	0	0.0553420496539958	0	0.000193086918276804	0	0	0	0	0	0.0138393428222285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000834623536694545	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00161465979114969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142886535417	0	0	0.0013372950317479	5.56243709571311e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00040	0	0	0	0	0	0	0	0	0	0	0	0	0	3.40411179124747e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00155812636526793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
