X105_B	X10_B	X128_B	X12_B	X130_B	X133_B	X137_B	X150_B	X157_B	X172_B	X180_B	X181_B	X184_B	X201_B	X229_B	X238_B	X240_B	X256_B	X258_B	X263_B	X265_B	X268_B	X26_B	X272_B	X274_B	X275_B	X276_B	X281_B	X282_B	X332_B	X335_B	X338_B	X341_B	X343_B	X350_B	X367_B	X377_B	X383_B	X385_B	X397_B	X39_B	X42_B	X45_B	X51_B	X521_B	X526_B	X527_B	X536_B	X544_B	X549_B	X560_B	X565_B	X567_B	X572_B	X582_B	X585_B	X587_B	X589_B	X590_B	X591_B	X599_B	X608_B	X615_B	X624_B	X633_B	X637_B	X78_B	X87_B
MN00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00025	0	0	0.00132040116420883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00124412472999408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2901053050956e-05	0	0	0
MN00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000156534048773617	0	0	0	0	0	0	0	0	0.000117348681113309	0	0	0	0	0	0.0543535412491986	0	0	0	0	5.22604985655869e-05	0	0	0	0	0	0	0	0	0	9.54666900797707e-05	0	0	0	0	0
MN00027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00173289806457325	0	0	0	0	0	0	0	0	0	0	0	0.00021611740472879
MN00028	0	0	0	0	0	0	0	0	0	0.000400745743947724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000551891857731732	0	0	0	0	0	0	0	0	0	0	0	0	0.000136525214027334	0	0	0
MN00029	0.00054103137661541	0	0	0	0	3.3105098014117e-05	0.0194064365398446	0	0	0	0	0	0	0	0.000349746437167654	0	0	6.46454306374309e-05	0	0	0	0.000479926351223488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000972016799790085	0	0.000426009670158372	1.78156508026286e-05	0.000139183157193305	0	0	0	0	0.0433448873952652	0	0.000396092142497478	0	0	0	0	0.143690177620741	0	0	7.77979803692199e-05	0	0	0	0	0	0	0.00314323656465471	0	0	0	5.05533422067558e-05	0.414150072124447
MN00030	0	0	0	8.76662377449693e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00611194767921618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0416163204025816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00031	0	0	0	0	0	5.04059114301039e-05	0	0	0	0	0.000376873364309587	0	0	0	0	0	0	0	0	0	0.000792036439559459	0.000337717343758189	5.58140683098714e-05	0	0	0	0	9.67240970183343e-05	0	0	0	0	0	0	0	0	0	0	0	1.76469966059215e-05	0.00207267041694121	0	0	0.000103230883565047	0	0.00160140998437521	0	0.000225946276098351	0	0	0	0	0	0	0	0.00753334931909795	0	0	0	0.000167901063157399	0.000114763234920696	0	0.00249038179651395	0	0	0	8.79954072377297e-05	0
MN00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00033	0	0	0	8.5427683917556e-05	0	0	0.00143790445622095	0	0	9.30583294264668e-05	0	0.00081319733058829	0	0	0	0	0	0	0.000861801896367487	0	0	0.000336642874687435	0	0	0	0	0.000400758221921615	0	0.000632962189448841	0.00056326202410783	0.000151180813320175	0.0076359806120439	0.00630099265412733	0	0.017787396434873	0	0	0	0	0	0	0.00276681645597991	0.0629860585477255	0.0196480986270213	0	0	0	0	0	0.00208896856082802	0	0	0	0	0	0	0	0	0.071913628235698	0	0	0	0	0	0	0	0	0
